ID;Gebruiksfunctie;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
88727;A045364;GM1680;2012JJ00;12414;14;49;10;1345;92;-1200;11214
88744;A045364;GM1680;2013JJ00;11214;25;219;31;270;16;-41;11173
88761;A045364;GM1680;2014JJ00;11173;6;9;7;39;8;-23;11150
88778;A045364;GM1680;2015JJ00;11150;8;6;30;3;0;-19;11131
88795;A045364;GM1680;2016JJ00;11131;19;7;10;2;0;14;11145
88812;A045364;GM1680;2017JJ00;11145;22;8;7;3;0;20;11165
88829;A045364;GM1680;2018JJ00;11165;85;18;7;5;1;92;11257
88846;A045364;GM1680;2019JJ00;11257;32;6;1;115;0;-78;11179
88863;A045364;GM1680;2020JJ00;11179;14;10;14;2;20;28;11207
88888;A045364;GM0738;2012JJ00;4769;43;8;7;7;51;88;4857
88905;A045364;GM0738;2013JJ00;4857;80;41;6;5;4;114;4971
88922;A045364;GM0738;2014JJ00;4971;46;12;5;4;0;49;5020
88939;A045364;GM0738;2015JJ00;5020;29;7;22;2;-1;11;5031
88956;A045364;GM0738;2016JJ00;5031;53;3;8;8;0;40;5071
88973;A045364;GM0738;2017JJ00;5071;42;19;10;2;-11;38;5109
88990;A045364;GM0738;2018JJ00;5109;41;8;3;1;13;58;5167
89007;A045364;GM0738;2019JJ00;;;;;;;;
89024;A045364;GM0738;2020JJ00;;;;;;;;
89049;A045364;GM0358;2012JJ00;12267;49;25;10;27;50;87;12354
89066;A045364;GM0358;2013JJ00;12354;252;214;31;10;1;426;12780
89083;A045364;GM0358;2014JJ00;12780;32;15;14;10;0;23;12803
89100;A045364;GM0358;2015JJ00;12803;89;39;8;34;4;90;12893
89117;A045364;GM0358;2016JJ00;12893;32;15;10;11;0;26;12919
89134;A045364;GM0358;2017JJ00;12919;42;27;63;39;2;-31;12888
89151;A045364;GM0358;2018JJ00;12888;193;24;13;6;5;203;13091
89168;A045364;GM0358;2019JJ00;13091;124;29;11;16;0;126;13217
89185;A045364;GM0358;2020JJ00;13217;73;7;6;9;2;67;13284
89210;A045364;GM0197;2012JJ00;11504;23;64;3;64;-73;-53;11451
89227;A045364;GM0197;2013JJ00;11451;46;227;3;32;-2;236;11687
89244;A045364;GM0197;2014JJ00;11687;56;104;2;76;6;88;11775
89261;A045364;GM0197;2015JJ00;11775;35;40;4;35;0;36;11811
89278;A045364;GM0197;2016JJ00;11811;41;57;1;39;3;61;11872
89295;A045364;GM0197;2017JJ00;11872;41;33;5;23;4;50;11922
89312;A045364;GM0197;2018JJ00;11922;44;26;14;11;4;49;11971
89329;A045364;GM0197;2019JJ00;11971;75;20;83;10;3;5;11976
89346;A045364;GM0197;2020JJ00;11976;49;17;9;6;1;52;12028
89371;A045364;GM0059;2012JJ00;11663;52;18;8;9;-5;48;11711
89388;A045364;GM0059;2013JJ00;11711;34;165;4;12;0;183;11894
89405;A045364;GM0059;2014JJ00;11894;31;13;12;9;0;23;11917
89422;A045364;GM0059;2015JJ00;11917;31;24;17;9;0;29;11946
89439;A045364;GM0059;2016JJ00;11946;80;15;8;5;0;82;12028
89456;A045364;GM0059;2017JJ00;12028;30;36;8;11;0;47;12075
89473;A045364;GM0059;2018JJ00;12075;42;27;13;13;0;43;12118
89490;A045364;GM0059;2019JJ00;12118;40;13;24;9;-9;11;12129
89507;A045364;GM0059;2020JJ00;12129;67;10;30;4;9;52;12181
89532;A045364;GM0482;2012JJ00;8083;26;9;0;8;1;28;8111
89549;A045364;GM0482;2013JJ00;8111;12;2;1;2;0;11;8122
89566;A045364;GM0482;2014JJ00;8122;36;2;22;0;0;16;8138
89583;A045364;GM0482;2015JJ00;8138;80;4;0;2;0;82;8220
89600;A045364;GM0482;2016JJ00;8220;38;7;0;1;-12;32;8252
89617;A045364;GM0482;2017JJ00;8252;22;7;5;2;2;24;8276
89634;A045364;GM0482;2018JJ00;8276;53;1;1;5;0;48;8324
89651;A045364;GM0482;2019JJ00;8324;33;2;3;4;1;29;8353
89668;A045364;GM0482;2020JJ00;8353;54;5;2;2;0;55;8408
89693;A045364;GM0613;2012JJ00;9822;33;166;4;4;46;237;10059
89710;A045364;GM0613;2013JJ00;10059;9;110;4;8;-1;106;10165
89727;A045364;GM0613;2014JJ00;10165;2;3;3;0;0;2;10167
89744;A045364;GM0613;2015JJ00;10167;45;3;6;1;0;41;10208
89761;A045364;GM0613;2016JJ00;10208;65;15;1;1;0;78;10286
89778;A045364;GM0613;2017JJ00;10286;49;3;1;4;0;47;10333
89795;A045364;GM0613;2018JJ00;10333;22;1;6;3;0;14;10347
89812;A045364;GM0613;2019JJ00;10347;175;6;9;2;0;170;10517
89829;A045364;GM0613;2020JJ00;10517;61;4;5;4;0;56;10573
89854;A045364;GM0361;2012JJ00;43703;134;153;36;41;136;346;44049
89871;A045364;GM0361;2013JJ00;44049;371;403;6;11;78;835;44884
89888;A045364;GM0361;2014JJ00;44884;143;176;3;31;117;402;45286
89905;A045364;GM0361;2015JJ00;50076;272;198;22;179;1;270;50346
89922;A045364;GM0361;2016JJ00;50346;127;143;30;74;1;167;50513
89939;A045364;GM0361;2017JJ00;50513;198;192;11;66;4;317;50830
89956;A045364;GM0361;2018JJ00;50830;189;166;5;52;-1;297;51127
89973;A045364;GM0361;2019JJ00;51127;130;189;39;69;1;212;51339
89990;A045364;GM0361;2020JJ00;51339;244;117;9;36;1;317;51656
90015;A045364;GM0141;2012JJ00;31995;54;38;1;49;80;122;32117
90032;A045364;GM0141;2013JJ00;32117;62;34;0;53;-1;42;32159
90049;A045364;GM0141;2014JJ00;32159;170;30;1;77;0;122;32281
90066;A045364;GM0141;2015JJ00;32281;106;139;29;80;0;136;32417
90083;A045364;GM0141;2016JJ00;32417;239;265;9;52;-1;442;32859
90100;A045364;GM0141;2017JJ00;32859;195;125;3;188;0;129;32988
90117;A045364;GM0141;2018JJ00;32988;363;166;2;39;-4;484;33472
90134;A045364;GM0141;2019JJ00;33472;93;41;0;48;-9;77;33549
90151;A045364;GM0141;2020JJ00;33549;256;40;1;13;-4;278;33827
90176;A045364;GM0034;2012JJ00;76755;573;150;0;3;134;854;77609
90193;A045364;GM0034;2013JJ00;77609;617;28;56;3;135;721;78330
90210;A045364;GM0034;2014JJ00;78330;584;79;0;21;2;644;78974
90227;A045364;GM0034;2015JJ00;78974;681;70;1;4;1;747;79721
90244;A045364;GM0034;2016JJ00;79721;792;77;0;4;-4;861;80582
90261;A045364;GM0034;2017JJ00;80582;1622;121;0;14;1;1730;82312
90278;A045364;GM0034;2018JJ00;82312;1645;231;17;14;4;1849;84161
90295;A045364;GM0034;2019JJ00;84161;1653;171;0;10;2;1816;85977
90312;A045364;GM0034;2020JJ00;85977;1335;100;0;10;-143;1282;87259
90337;A045364;GM0484;2012JJ00;31005;116;136;10;10;43;275;31280
90354;A045364;GM0484;2013JJ00;31280;94;24;20;7;4;95;31375
90371;A045364;GM0484;2014JJ00;45433;378;49;88;20;1;320;45753
