Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
's-Gravenhage (gemeente),253210,241378,262492,1429,84,2820,8.747276056641454,3357.142857142857
's-Hertogenbosch,69726,63223,72991,582,346,1007,15.450073549183045,291.04046242774564
Aa en Hunze,11173,11131,12414,19,6,85,11.526367801635075,1416.6666666666665
Aalburg,5020,4769,5109,43,29,80,7.129377227930391,275.86206896551727
Aalsmeer,12888,12267,13217,73,32,252,7.744354772968137,787.5
Aalten,11811,11451,11976,44,23,75,4.584752423369139,326.0869565217391
Achtkarspelen,11946,11663,12129,40,30,80,3.9955414558861406,266.66666666666663
Alblasserdam,8220,8083,8353,36,12,80,3.3403439317085173,666.6666666666667
Albrandswaard,10208,9822,10517,45,2,175,7.075951944614118,8750.0
Alkmaar,50346,43703,51339,189,127,371,17.472484726448982,292.12598425196853
Almelo,32417,31995,33549,170,54,363,4.857008907641827,672.2222222222223
Almere,79721,76755,85977,792,573,1653,12.014852452608963,288.4816753926702
Alphen aan den Rijn,45968,31005,48178,378,94,644,55.38784067085953,685.1063829787234
Alphen-Chaam,4214,3936,4371,52,26,86,11.051829268292693,330.7692307692308
Altena,22310,22221,22399,189,184,194,0.8010440574231552,105.43478260869566
Ameland,1674,1547,1737,6,0,12,12.281835811247575,inf
Amersfoort,65289,63442,67722,463,259,874,6.746319472904389,337.4517374517375
Amstelveen,42035,41304,43045,280,73,625,4.215088127057911,856.1643835616438
Amsterdam,424390,408888,447351,4914,2449,7530,9.406732405940005,307.47243772968557
Apeldoorn,70615,67968,73244,525,339,866,7.762476459510353,255.45722713864305
Appingedam,5881,5732,6042,42,17,140,5.408234473133277,823.5294117647059
Arnhem,72711,69605,76737,665,383,909,10.24639034552115,237.33681462140993
Assen,30737,29854,32154,284,84,531,7.704160246533135,632.1428571428571
Asten,6717,6337,6899,36,13,132,8.868549786965445,1015.3846153846154
Baarle-Nassau,2746,2681,2875,25,2,67,7.236105930622898,3350.0
Baarn,11586,11071,11679,67,2,169,5.491825490018968,8450.0
Barendrecht,18918,18421,19416,107,45,192,5.401444004125722,426.6666666666667
Barneveld,20938,19699,22799,350,74,573,15.736839433473776,774.3243243243243
Bedum,4529,4424,4614,24,0,57,4.294755877034362,inf
Beek (L.),7416,7360,7488,5,0,49,1.739130434782595,inf
Beekdaelen,16635,16635,16635,56,37,76,0.0,205.4054054054054
Beemster,3657,3422,4036,52,9,143,17.942723553477506,1588.888888888889
Beesel,5925,5882,5965,7,4,78,1.4110846650799118,1950.0
Bellingwedde,4132,4116,4168,0,0,10,1.2633624878522767,inf
Berg en Dal,15518,15282,15802,90,64,123,3.402695982201294,192.1875
Bergambacht,4019,3942,4142,101,39,111,5.073566717402329,284.61538461538464
Bergeijk,7742,7456,7970,55,29,111,6.893776824034333,382.7586206896552
Bergen (L.),5619,5480,5760,33,0,52,5.109489051094897,inf
Bergen (NH.),14988,14635,15344,45,4,145,4.844550734540491,3625.0
Bergen op Zoom,29916,29604,30884,123,60,455,4.323740035130385,758.3333333333333
Berkelland,19458,18879,19541,100,46,181,3.5065416600455563,393.47826086956525
Bernheze,12044,11307,12714,112,47,300,12.443618997081458,638.2978723404256
Bernisse,5499,5378,5517,22,21,28,2.5846039419858755,133.33333333333331
Best,12031,11703,12698,102,69,276,8.502093480304197,400.0
Beuningen,10667,10365,11137,92,29,211,7.448142788229632,727.5862068965517
Beverwijk,18846,18325,19403,107,56,312,5.882673942701231,557.1428571428571
Binnenmaas,12565,12428,12809,116,66,127,3.065658191181214,192.42424242424244
Bladel,8417,8061,8746,68,49,170,8.497704999379735,346.9387755102041
Blaricum,4363,3888,5075,107,35,279,30.529835390946488,797.1428571428571
Bloemendaal,9653,9439,10034,46,14,136,6.303633859519024,971.4285714285713
Boarnsterhim,8415,8376,8455,40,20,60,0.9431709646609505,300.0
Bodegraven-Reeuwijk,14008,13441,14499,158,82,289,7.871438137043384,352.4390243902439
Boekel,3975,3670,4248,75,10,150,15.749318801089913,1500.0
Borger-Odoorn,11644,11374,11734,38,2,65,3.165113416564097,3250.0
Borne,9316,8951,9954,93,55,202,11.205451904815106,367.2727272727273
Borsele,9719,9543,9821,59,19,127,2.913130042963431,668.421052631579
Boskoop,6222,6168,6276,80,51,110,1.7509727626459153,215.68627450980392
Boxmeer,11896,11441,12568,146,51,265,9.850537540424796,519.6078431372549
Boxtel,13296,12729,13401,50,27,114,5.279283525807216,422.22222222222223
Breda,81649,77017,84567,523,296,1099,9.803030499759785,371.28378378378375
